1, en, 09, 03, 15, quick/en-List09Sentence03.wav, press pedal/petal with left foot
1, en, 09, 04, 10, quick/en-List09Sentence04.wav, black trunk fell from landing
1, en, 09, 05, 05, quick/en-List09Sentence05.wav, cheap clothes flashy don't last
1, en, 09, 06, 00, quick/en-List09Sentence06.wav, night alarm roust/roused deep sleep
0, en, 10, 01, 25, quick/en-List10Sentence01.wav, dots light betrayed black cat
0, en, 10, 02, 20, quick/en-List10Sentence02.wav, put chart mantle tack down
0, en, 10, 03, 15, quick/en-List10Sentence03.wav, steady drip worse drenching rain
0, en, 10, 04, 10, quick/en-List10Sentence04.wav, flat pack less luggage space
0, en, 10, 05, 05, quick/en-List10Sentence05.wav, gloss top made unfit read
0, en, 10, 06, 00, quick/en-List10Sentence06.wav, seven seals stamped great sheets
0, en, 11, 01, 25, quick/en-List11Sentence01.wav, marsh/marsue freeze when cold enough
0, en, 11, 02, 20, quick/en-List11Sentence02.wav, gray mare walked before colt
0, en, 11, 03, 15, quick/en-List11Sentence03.wav, bottles hold four/for kinds rum
0, en, 11, 04, 10, quick/en-List11Sentence04.wav, wield/wheeled/wheled bike past winding road
0, en, 11, 05, 05, quick/en-List11Sentence05.wav, throw used paper cup plate
0, en, 11, 06, 00, quick/en-List11Sentence06.wav, wall phone ring loud often
0, en, 12, 01, 25, quick/en-List12Sentence01.wav, hinge door creaked old age
0, en, 12, 02, 20, quick/en-List12Sentence02.wav, bright lanterns gay dark lawn
0, en, 12, 03, 15, quick/en-List12Sentence03.wav, offered proof form large chart
0, en, 12, 04, 10, quick/en-List12Sentence04.wav, there/their eyelids droop want sleep
0, en, 12, 05, 05, quick/en-List12Sentence05.wav, many ways do these things
0, en, 12, 06, 00, quick/en-List12Sentence06.wav, we like see clear weather
